day,condition,response,count,total,percentage
D14,ATP,above,17,795,2.138364779874214
D14,ATP,below,15,795,1.8867924528301887
D14,ATP,no response,763,795,95.9748427672956
D14,DMPP,above,7,841,0.8323424494649228
D14,DMPP,below,11,841,1.3079667063020215
D14,DMPP,no response,823,841,97.85969084423306
D14,HK,above,233,794,29.34508816120907
D14,HK,below,18,794,2.2670025188916876
D14,HK,no response,543,794,68.38790931989925
D14,SA,above,7,876,0.7990867579908676
D14,SA,below,8,876,0.91324200913242
D14,SA,no response,861,876,98.28767123287672
D21,ATP,above,30,999,3.003003003003003
D21,ATP,below,19,999,1.901901901901902
D21,ATP,no response,950,999,95.09509509509509
D21,DMPP,above,8,974,0.8213552361396304
D21,DMPP,below,15,974,1.540041067761807
D21,DMPP,no response,951,974,97.63860369609856
D21,HK,above,29,963,3.011422637590862
D21,HK,below,40,963,4.153686396677051
D21,HK,no response,894,963,92.83489096573209
D21,SA,above,1,696,0.14367816091954022
D21,SA,below,7,696,1.0057471264367817
D21,SA,no response,688,696,98.85057471264368
D28,ATP,above,4,356,1.1235955056179776
D28,ATP,no response,352,356,98.87640449438203
D28,DMPP,above,1,325,0.3076923076923077
D28,DMPP,below,22,325,6.769230769230769
D28,DMPP,no response,302,325,92.92307692307692
D28,HK,above,110,360,30.555555555555557
D28,HK,below,1,360,0.2777777777777778
D28,HK,no response,249,360,69.16666666666667
D28,SA,above,3,513,0.5847953216374269
D28,SA,below,3,513,0.5847953216374269
D28,SA,no response,507,513,98.83040935672514
